movieCd,movieNm,audiCnt
20192591,BIFAN2019 판타스틱 단편 걸작선 1,15200
20196657,맨 인 블랙: 인터내셔널,27263
20190466,세상을 바꾼 변호인,14274
20184889,어벤져스: 엔드게임,12483
20188144,0.0MHz,26441
20199822,더 보이,16901
20198597,교회오빠,26130
20197503,서스페리아,18121
20169323,안도 타다오,7440
20199736,프렌즈: 둥지탈출,9930
20198104,바이스,10115
20198844,아이 엠 마더,31860
20198403,파이브 피트,60449
20198104,바이스,8094
20198146,콜레트,21233
20196601,항거:유관순 이야기,15082
20196723,숲속왕국의 꿀벌 여왕,17796
20195743,신데렐라:마법 반지의 비밀,14386
20188282,알리타: 배틀 엔젤,60860
20184888,메리 포핀스 리턴즈,69028
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,34913
20184896,가버나움,33786
20189463,주먹왕 랄프 2: 인터넷 속으로,19719
20189385,몬스터 파크,29802
20184574,그린 북,73679
20175547,스윙키즈,34868
20182421,그린치,84999
20183238,스파이더맨: 뉴 유니버스,86533
20183375,극장판 포켓몬스터 모두의 이야기,85371
20177538,완벽한 타인,48328
20176814,신비한 동물들과 그린델왈드의 범죄,41505
20182966,투 프렌즈,20065
20186822,너의 췌장을 먹고 싶어,15028
20189869,해피 투게더,13904
